年月別,最近月份收益率,公告日期
2020-03,-11.3739,2020-05-01
2020-02,-3.7437,2020-04-01
2020-01,-0.7342,2020-03-02
2019-12,11.4477,2020-02-03
2019-11,9.9585,2020-01-02
2019-10,9.3190,2019-12-02
2019-09,8.4688,2019-11-01
2019-08,8.2017,2019-10-01
2019-07,8.0249,2019-09-02
2019-06,7.4742,2019-08-01
2019-05,5.6842,2019-07-01
2019-04,6.7281,2019-06-03
2019-03,5.4950,2019-05-01
2019-02,4.3202,2019-04-01
2019-01,3.0455,2019-03-04
2018-12,-2.0686,2019-02-01
2018-11,-0.0009,2019-01-02
2018-10,-0.7232,2018-12-03
2018-09,2.5609,2018-11-01
2018-08,3.3532,2018-10-01
2018-07,3.1355,2018-09-03
2018-06,1.5126,2018-08-01
2018-05,0.9076,2018-07-02
2018-04,-0.4109,2018-06-01
2018-03,-1.0156,2018-05-01
2018-02,-0.9700,2018-04-02
2018-01,1.3004,2018-03-01
2017-12,7.9314,2018-02-01
2017-11,7.6217,2018-01-02
2017-10,7.1235,2017-12-01
2017-09,6.1560,2017-11-01
2017-08,5.8909,2017-10-02
2017-07,5.1691,2017-09-01
2017-06,3.7764,2017-08-01
2017-05,2.2791,2017-07-03
2017-04,1.1561,2017-06-01
2017-03,0.5411,2017-05-01
2017-02,0.3998,2017-04-05
2017-01,0.0122,2017-03-01
2016-12,3.2303,2017-02-02
2016-11,2.0083,2017-01-03
2016-10,2.6978,2016-12-01
2016-09,3.3750,2016-11-01
2016-08,3.4945,2016-10-03
2016-07,3.5016,2016-09-01
2016-06,2.0198,2016-08-01
2016-05,1.5003,2016-07-01
2016-04,0.9189,2016-06-01
2016-03,0.9514,2016-05-03
2016-02,-0.5940,2016-04-01
2016-01,-0.8647,2016-03-01
2015-12,-0.0932,2016-02-01
2015-11,0.0959,2016-01-04
2015-10,1.0443,2015-12-01
2015-09,-1.1542,2015-11-02
2015-08,-0.8158,2015-10-01
2015-07,0.3137,2015-09-01
2015-06,0.5070,2015-08-03
2015-05,1.4371,2015-07-01
2015-04,1.6814,2015-06-01
2015-03,0.9613,2015-05-01
2015-02,1.5540,2015-04-01
2015-01,0.1389,2015-03-02
2014-12,6.3814,2015-02-02
2014-11,6.1181,2015-01-05
2014-10,4.5924,2014-12-01
2014-09,3.8422,2014-11-03
2014-08,5.8214,2014-10-01
2014-07,4.7782,2014-09-01
2014-06,4.7262,2014-08-01
2014-05,3.6287,2014-07-01
2014-04,2.4499,2014-06-03
2014-03,2.251,2014-05-02
2014-02,1.1718,2014-04-01
2014-01,-0.7079,2014-03-03
2013-12,5.679,2014-02-05
2013-11,4.8626,2014-01-02
2013-10,4.7214,2013-12-02
2013-09,3.2749,2013-11-01
2013-08,1.8733,2013-10-01
2013-07,2.9382,2013-09-02
2013-06,1.7384,2013-08-01
2013-05,3.3864,2013-07-01
2013-04,3.6952,2013-06-03
2013-03,2.5371,2013-05-01
2013-02,1.862,2013-04-01
2013-01,1.5689,2013-03-01
2012-12,5.0154,2013-02-01
2012-11,4.1988,2013-01-02
2012-10,3.0656,2012-12-03
